FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,R1a,R1b,R2,R3,R4,R0
JPN,PS,FS,FS,R1b,R1b,R2,,R4,
JPN,PS,LS,LS,R1b,R1b,R2,,R4,
JPN,PS,UNCL,LS,,,,,R4,
JPN,PSOB,UNCL,LS,R1b,R1b,,,R4,R0
KEN,ELL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
KEN,GILL,UNCL,GI,,R1a,,,,
KEN,HAND,UNCL,HD,,R1a,,,,
KEN,HARP,UNCL,OT,,R1a,,,,
KEN,LLCO,UNCL,LF,,R4,,,,
KEN,RIN,UNCL,OT,,R1a,,,,
KEN,SPOR,UNCL,OT,,R1a,,,,
KEN,TROL,UNCL,TR,,R1b,,,,R0
KOR,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
KOR,LLOB,UNCL,LL,,R1b,R2,R3,,R0
KOR,PS,FS,FS,,R1b,R2,,,
KOR,PS,LS,LS,R1b,R1b,R2,R4,R4,
KOR,PS,UNCL,LS,R1b,R1b,R2,,R4,
KOR,PSOB,UNCL,LS,R1b,R1b,,,,
LKA,BB,UNCL,BB,,,,,R1b,
LKA,BS,UNCL,OT,,,,,R4,R0
LKA,FLL,UNCL,LF,R4,R4,,R4,R4,R0
LKA,G/L,UNCL,GI,,,,,R4,
LKA,GILL,UNCL,GI,,,,,R4,
LKA,GIOF,UNCL,GI,R1a,R1a,,R4,R4,
LKA,GL,UNCL,GI,,,,,R4,
LKA,HAND,UNCL,HD,,,,,R1a,
LKA,HARP,UNCL,OT,,,,,R4,
LKA,HATR,UNCL,HD,,,,,R4,
LKA,HLOF,UNCL,OT,,,,,R4,
LKA,LG,UNCL,LF,,,,,R4,
LKA,LLCO,UNCL,LF,,,,,R4,
LKA,LLHA,UNCL,OT,,,,,R4,
LKA,PS,LS,LS,,,,,R4,
LKA,RIN,UNCL,OT,,,,,R4,
LKA,RNOF,UNCL,OT,,R1a,,,R4,
LKA,TROL,UNCL,TR,,,,,R4,
LKA,TROLM,UNCL,TR,,,,,R4,
LKA,UNCL,UNCL,OT,,,,,R4,
MDG,BB,UNCL,BB,,,R1b,,,
MDG,ELL,UNCL,LL,,,R2,,,R0
MDG,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
MDG,TROL,UNCL,TR,,,R2,,,
MDV,BB,FD,BB,,R1b,,,,
MDV,BB,FS,BB,,R1b,,,R1b,
MDV,BB,LA,BB,,R1b,,,,
MDV,BB,LS,BB,,R1b,,,,
MDV,BB,UNCL,BB,,R1b,,,R1b,
MDV,BBM,UNCL,BB,,R1b,,,,
MDV,BBN,UNCL,BB,,R1b,,,,
MDV,BBOF,FD,BB,,R1b,,,,
MDV,BBOF,FS,BB,,R1b,,,R1b,
MDV,BBOF,LA,BB,,R1b,,,,
MDV,BBOF,UNCL,BB,,R1b,,,R1b,R0
MDV,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
MDV,FN,UNCL,OT,,R1a,,,,
MDV,HAND,FD,HD,,R1a,,,R1a,
MDV,HAND,FS,HD,,R1a,,,R1a,
MDV,HAND,LA,HD,,R1a,,,,
MDV,HAND,LS,HD,,R1a,,,,
MDV,HAND,UNCL,HD,,R1a,,,R1a,
MDV,HLOF,UNCL,HD,,R1a,,,R1a,
MDV,LL,FD,LL,,R1b,,,R4,
MDV,LL,UNCL,LL,R1a,R1b,,,R4,
MDV,LLCO,UNCL,LF,,R4,,,R4,
MDV,TROL,LA,TR,,R1b,,,,
MDV,TROL,UNCL,TR,,R1b,,,R4,
MDV,TROLM,UNCL,TR,,R1b,,,R4,
MDV,TROLN,UNCL,TR,,R1b,,,,
MDV,UNCL,UNCL,OT,,R1b,,,,
MOZ,ELL,UNCL,LL,,,R2,R3,,
MOZ,FLL,UNCL,LL,,,R2,,,
MOZ,FLLOB,UNCL,LF,,,R2,,,
MOZ,HAND,UNCL,HD,,,R1a,,,
MOZ,PSS,UNCL,OT,,,R1a,,,
MOZ,SPOR,UNCL,OT,,,R1a,,,
MUS,ELL,UNCL,LL,,R1b,R2,R3,,
MUS,FLL,UNCL,LF,,,R4,,,R0
MUS,HAND,UNCL,HD,,,R1a,,,
MUS,HATR,UNCL,HD,,,R1a,,,
MUS,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
MUS,LLCO,UNCL,LF,,,R4,R4,R4,
MUS,PS,FS,FS,R1b,R1b,R2,,R4,
MUS,PS,LS,LS,R1b,R1b,R2,,R4,
MUS,PS,UNCL,LS,,R1b,,,,
MUS,PSOB,LS,LS,,R1b,,,,
MUS,PSOB,UNCL,LS,,R1b,R2,,R4,
MUS,SPOR,UNCL,OT,,,R1a,R4,,
MUS,TROL,UNCL,TR,,,R2,R4,,
MYS,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
MYS,LL,UNCL,LL,,R1b,,R3,R4,R0
MYS,PS,FS,FS,,,,,R4,
MYS,PS,LS,LS,,,,,R4,R0
NEICE,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
NEIDN,FLL,UNCL,LF,,,,R4,R4,R0
NEIFR,ELL,UNCL,LL,,R1b,R2,R3,R4,R0
NEIFR,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
NEIPS,PS,FS,FS,R1b,R1b,R2,,R4,
NEIPS,PS,LS,LS,R1b,R1b,R2,,R4,
NEISU,PS,FS,FS,,R1b,,,R4,
NEISU,PS,LS,LS,R1b,R1b,R2,,R4,
OMN,BS,UNCL,OT,R1a,,,,,
OMN,CN,UNCL,OT,R1a,,,,,R0
OMN,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
OMN,GIHA,UNCL,GI,R1a,,,,,
OMN,GILL,UNCL,GI,R1a,,,,,
OMN,GIOF,UNCL,GI,R1a,,,,,
OMN,HAND,UNCL,HD,R1a,,,,,
OMN,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
OMN,TRAP,UNCL,OT,R1a,,,,,
OMN,TROL,UNCL,TR,R1b,,,,,
PAK,GILL,UNCL,GI,R1a,,,,,
PAK,HAND,UNCL,HD,R1a,,,,,R0
PAK,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
PAK,TROL,UNCL,TR,R1b,,,,,
PHL,LL,UNCL,LL,R1a,R1b,R2,R3,R4,
PHL,PS,LS,LS,,,,,R4,
QAT,GILL,UNCL,GI,R1a,,,,,
SEN,ELL,UNCL,LL,,R1b,R2,R3,,
SUN,GILL,UNCL,OT,R1a,,,,,R0
SUN,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
SUN,PS,FS,FS,,,,,R4,
SUN,PS,LS,LS,,R1b,R2,,R4,
SUN,PSS,UNCL,OT,R1a,,,,,
SYC,ELL,UNCL,LL,,R1b,R2,,,
SYC,FLL,UNCL,LF,,R4,,R4,,
SYC,HAND,UNCL,HD,,R1a,,,,R0
SYC,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
SYC,LLCO,UNCL,LF,,R4,R4,,,R0
SYC,PS,FS,FS,R1b,R1b,R2,,R4,
SYC,PS,LS,LS,R1b,R1b,R2,R4,R4,
SYC,PS,UNCL,LS,R1a,R1b,R2,,,
SYC,TROL,UNCL,TR,,R1b,,,,
THA,FLL,UNCL,LF,,,,R4,R4,R0
THA,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
THA,PS,FS,FS,,R1b,,,,
THA,PS,LS,LS,R1b,R1b,,,R4,
THA,PSS,UNCL,OT,,,,,R4,
TMP,GILL,UNCL,GI,,,,,R4,
TMP,HAND,UNCL,HD,,,,,R1a,
TMP,TROL,UNCL,TR,,,,,R4,R0
TWN,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
TWN,GIOF,UNCL,GI,R1a,R1a,R1a,R4,R4,R0
TWN,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
TWN,LLOB,UNCL,LL,R1a,R1b,R2,R3,R4,R0
TZA,BB,UNCL,BB,,R1b,,,,R0
TZA,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
TZA,GILL,UNCL,GI,,R1a,,,,
TZA,HAND,UNCL,HD,,R1a,,,,R0
TZA,LL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
TZA,LLCO,UNCL,LF,,R1b,,,,
TZA,PS,FS,FS,,R1b,,,,
TZA,PS,LS,LS,R1b,R1b,R2,,R4,
TZA,PSS,UNCL,OT,,R1a,,,,
TZA,RIN,UNCL,OT,,R1b,,,,
TZA,TROL,UNCL,TR,,R1b,,,,
VUT,FLL,UNCL,LF,,,,R4,R4,
YEM,GILL,UNCL,GI,R1a,,,,,
YEM,HAND,UNCL,HD,R1a,,,,,
YEM,TROL,UNCL,TR,R1b,,,,,
ZAF,ELL,UNCL,LL,,,R2,R3,,
ZAF,GILL,UNCL,GI,,,R1a,,,
ZAF,LL,UNCL,LL,,,R2,,,
ZAF,SLL,UNCL,LL,,,R2,,,
ZAF,SPOR,UNCL,OT,,,R1a,R4,,
ZAF,TROL,UNCL,TR,,,R2,,,
